Pole Index,Coefficients,Status
341,"[array([-3.52429414e+01,  4.71220347e+04]), array([ 2.89262834e+01, -3.86759572e+04])]",Success
344,"[array([-3.12897616e+01,  4.34048849e+04]), array([ 3.12411750e+01, -4.33372814e+04])]",Success
345,"[array([-3.44508847e+01,  4.80251218e+04]), array([ 2.84573079e+01, -3.96716119e+04])]",Success
350,"[array([-3.48811259e+01,  4.90310821e+04]), array([ 2.79442589e+01, -3.92806188e+04])]",Success
353,"[array([-3.09647764e+01,  4.38814506e+04]), array([ 3.09163940e+01, -4.38127043e+04])]",Success
354,"[array([-3.44561532e+01,  4.89280363e+04]), array([ 2.79347909e+01, -3.96674729e+04])]",Success
356,"[array([-3.44118863e+01,  4.91486874e+04]), array([ 2.78502978e+01, -3.97771536e+04])]",Success
357,"[array([-3.40996071e+01,  4.92511339e+04]), array([ 2.77330609e+01, -4.00555933e+04])]",Success
358,"[array([-3.06363657e+01,  4.43541934e+04]), array([ 3.05885711e+01, -4.42848107e+04])]",Success
359,"[array([-3.05409253e+01,  4.44808507e+04]), array([ 3.04934278e+01, -4.44114747e+04])]",Success
360,"[array([-3.03806630e+01,  4.45735526e+04]), array([ 3.03806630e+01, -4.45732689e+04])]",Success
362,"[array([-3.02332350e+01,  4.49243111e+04]), array([ 3.01444717e+01, -4.47921693e+04])]",Success
365,[],Success
366,"[array([-3.02407601e+01,  4.49355060e+04]), array([ 3.02017390e+01, -4.48773406e+04])]",Success
367,"[array([-3.02017390e+01,  4.49020107e+04]), array([ 3.01545488e+01, -4.48315549e+04])]",Success
368,"[array([-3.36077664e+01,  5.01087877e+04]), array([ 2.72855134e+01, -4.06821430e+04])]",Success
369,"[array([-3.00568560e+01,  4.50824137e+04]), array([ 3.00568560e+01, -4.50821851e+04])]",Success
370,"[array([-3.00439596e+01,  4.52027070e+04]), array([ 2.99505102e+01, -4.50618355e+04])]",Success
371,"[array([-3.00060025e+01,  4.52620622e+04]), array([ 2.99126713e+01, -4.51210062e+04])]",Success
375,"[array([-2.97758081e+01,  4.54954283e+04]), array([ 2.97293560e+01, -4.54241507e+04])]",Success
377,"[array([-2.96913899e+01,  4.55702811e+04]), array([ 2.96913899e+01, -4.55699761e+04])]",Success
378,"[array([-2.96786144e+01,  4.57105047e+04]), array([ 2.96323860e+01, -4.56390351e+04])]",Success
387,[],Success
388,[],Success
