Pole Index,Coefficients,Status
177,"[array([-2.72593506e+01,  6.40839012e+04]), array([ 2.16080218e+01, -5.07983058e+04])]",Success
178,"[array([-2.76852780e+01,  6.54965587e+04]), array([ 2.13476842e+01, -5.05049363e+04])]",Success
179,"[array([-2.80410864e+01,  6.65526781e+04]), array([ 2.10308148e+01, -4.99145978e+04])]",Success
180,"[array([-2.71782837e+01,  6.48504788e+04]), array([ 2.12841981e+01, -5.07862913e+04])]",Success
181,"[array([-2.7359956e+01,  6.5800226e+04]), array([ 2.10968336e+01, -5.07376140e+04])]",Success
182,"[array([-2.68631935e+01,  6.49015389e+04]), array([ 2.10374407e+01, -5.08262781e+04])]",Success
183,"[array([-2.72829309e+01,  6.64138395e+04]), array([ 2.07869949e+01, -5.06019613e+04])]",Success
188,[],Success
189,"[array([-2.63268214e+01,  6.63696550e+04]), array([ 2.08688219e+01, -5.26104825e+04])]",Success
190,"[array([-2.65904486e+01,  6.75014742e+04]), array([ 2.05034784e+01, -5.20508952e+04])]",Success
191,"[array([-2.73697503e+01,  6.97703728e+04]), array([ 1.99638179e+01, -5.08914190e+04])]",Success
193,"[array([-2.61473017e+01,  6.90142886e+04]), array([ 2.01617748e+01, -5.32182879e+04])]",Success
196,"[array([-2.60546445e+01,  7.08086792e+04]), array([ 1.95409834e+01, -5.31063071e+04])]",Success
197,"[array([-2.55789164e+01,  7.00655068e+04]), array([ 1.97235018e+01, -5.40270954e+04])]",Success
199,[],Success
200,[],Success
201,[],Success
203,"[array([-2.54988449e+01,  7.25052143e+04]), array([ 1.93545450e+01, -5.50350774e+04])]",Success
205,"[array([-2.50315865e+01,  7.21409826e+04]), array([ 1.90716849e+01, -5.49643327e+04])]",Success
208,"[array([-2.51612561e+01,  7.39229926e+04]), array([ 1.88709421e+01, -5.54429169e+04])]",Success
174,"[array([-2.84595229e+01,  6.51912850e+04]), array([ 2.13446422e+01, -4.88947193e+04])]",Success
192,"[array([-2.67844211e+01,  6.89773443e+04]), array([ 2.03303437e+01, -5.23567064e+04])]",Success
194,"[array([-2.65623383e+01,  7.04537668e+04]), array([ 1.96873801e+01, -5.22187395e+04])]",Success
195,"[array([-2.62704622e+01,  7.07393063e+04]), array([ 1.97028467e+01, -5.30569015e+04])]",Success
198,"[array([-2.63313940e+01,  7.23685631e+04]), array([ 1.92064286e+01, -5.27868577e+04])]",Success
202,"[array([-2.55648887e+01,  7.20312683e+04]), array([ 1.91736665e+01, -5.40232489e+04])]",Success
204,"[array([-2.54988449e+01,  7.29188449e+04]), array([ 1.91241337e+01, -5.46892229e+04])]",Success
206,"[array([-2.53635805e+01,  7.34420135e+04]), array([ 1.92518744e+01, -5.57458468e+04])]",Success
207,"[array([-2.53635805e+01,  7.36807063e+04]), array([ 1.90226854e+01, -5.52612022e+04])]",Success
209,"[array([-2.50295294e+01,  7.43019165e+04]), array([ 1.87721471e+01, -5.57268182e+04])]",Success
210,"[array([-2.46384430e+01,  7.34348748e+04]), array([ 1.87721471e+01, -5.59504469e+04])]",Success
211,"[array([-2.49662628e+01,  7.45543504e+04]), array([ 1.85044066e+01, -5.52574194e+04])]",Success
212,"[array([-2.48991748e+01,  7.45653815e+04]), array([ 1.86743811e+01, -5.59241254e+04])]",Success
213,"[array([-2.48365754e+01,  7.46090757e+04]), array([ 1.86274316e+01, -5.59568961e+04])]",Success
215,"[array([-2.51696899e+01,  7.62387728e+04]), array([ 1.83590679e+01, -5.56092579e+04])]",Success
216,"[array([-2.50399566e+01,  7.64887116e+04]), array([ 1.84818727e+01, -5.64566494e+04])]",Success
217,"[array([-2.4581201e+01,  7.5645697e+04]), array([ 1.84359008e+01, -5.67349452e+04])]",Success
218,"[array([-2.49115539e+01,  7.69266803e+04]), array([ 1.81707805e+01, -5.61110257e+04])]",Success
219,"[array([-2.44473200e+01,  7.60971823e+04]), array([ 1.8335490e+01, -5.7072976e+04])]",Success
220,[],Success
221,[],Success
222,"[array([-2.38295892e+01,  7.55989054e+04]), array([ 1.81558775e+01, -5.75998152e+04])]",Success
225,"[array([-2.42302519e+01,  7.91958477e+04]), array([ 1.76738308e+01, -5.77670475e+04])]",Success
229,"[array([-2.28444782e+01,  7.89954937e+04]), array([ 1.78298367e+01, -6.16557320e+04])]",Success
231,[],Success
214,"[array([-2.51696899e+01,  7.59614683e+04]), array([ 1.85776282e+01, -5.60674936e+04])]",Success
223,"[array([-2.45371948e+01,  7.83337728e+04]), array([ 1.78977185e+01, -5.71393925e+04])]",Success
